time,MA005,MA010,MA020,MA050,MA100,MA200
1363049101000 ,1609.0 ,804.5,402.3,160.9,80.5,40.2
1363049102000 ,3218.0 ,1609,804.5,321.8,160.9,80.5
1363049103000 ,4827.0 ,2413.5 ,1206.8 ,482.7 ,241.4 ,120.7 
1363049104000 ,6436.6 ,3218.3 ,1609.2 ,643.7 ,321.8 ,160.9 
1363049105000 ,8046.6 ,4023.3 ,2011.7 ,804.7 ,402.3 ,201.2 
1363049106000 ,8047.8 ,4828.4 ,2414.2 ,965.7 ,482.8 ,241.4 
1363049107000 ,8049.2 ,5633.6 ,2816.8 ,1126.7 ,563.4 ,281.7 
1363049108000 ,8050.4 ,6438.7 ,3219.4 ,1287.7 ,643.9 ,321.9 
1363049109000 ,8051.0 ,7243.8 ,3621.9 ,1448.8 ,724.4 ,362.2 
1363049110000 ,8051.0 ,8048.8 ,4024.4 ,1609.8 ,804.9 ,402.4 
1363049111000 ,8050.6 ,8049.2 ,4426.9 ,1770.7 ,885.4 ,442.7 
1363049112000 ,8050.0 ,8049.6 ,4829.3 ,1931.7 ,965.9 ,482.9 
1363049113000 ,8049.6 ,8050.0 ,5231.8 ,2092.7 ,1046.4 ,523.2 
1363049114000 ,8049.4 ,8050.2 ,5634.3 ,2253.7 ,1126.9 ,563.4 
1363049115000 ,8049.4 ,8050.2 ,6036.8 ,2414.7 ,1207.4 ,603.7 
1363049116000 ,8049.8 ,8050.2 ,6439.3 ,2575.7 ,1287.9 ,643.9 
1363049117000 ,8050.0 ,8050.0 ,6841.8 ,2736.7 ,1368.4 ,684.2 
1363049118000 ,8050.0 ,8049.8 ,7244.3 ,2897.7 ,1448.9 ,724.4 
1363049119000 ,8049.8 ,8049.6 ,7646.7 ,3058.7 ,1529.3 ,764.7 
1363049120000 ,8049.4 ,8049.4 ,8049.1 ,3219.6 ,1609.8 ,804.9 
1363049121000 ,8048.6 ,8049.2 ,8049.2 ,3380.6 ,1690.3 ,845.1 
1363049122000 ,8046.2 ,8048.1 ,8048.9 ,3541.3 ,1770.7 ,885.3 
1363049123000 ,8046.0 ,8048.0 ,8049.0 ,3702.3 ,1851.2 ,925.6 
1363049124000 ,8045.4 ,8047.6 ,8048.9 ,3863.2 ,1931.6 ,965.8 
1363049125000 ,8045.4 ,8047.4 ,8048.8 ,4024.2 ,2012.1 ,1006.0 
1363049126000 ,8045.4 ,8047.0 ,8048.6 ,4185.1 ,2092.6 ,1046.3 
1363049127000 ,8047.2 ,8046.7 ,8048.4 ,4346.1 ,2173.0 ,1086.5 
1363049128000 ,8047.2 ,8046.6 ,8048.2 ,4507.0 ,2253.5 ,1126.8 
1363049129000 ,8047.4 ,8046.4 ,8048.0 ,4668.0 ,2334.0 ,1167.0 
1363049130000 ,8047.0 ,8046.2 ,8047.8 ,4828.9 ,2414.4 ,1207.2 
1363049131000 ,8047.0 ,8046.2 ,8047.7 ,4989.8 ,2494.9 ,1247.5 
1363049132000 ,8046.8 ,8047.0 ,8047.6 ,5150.7 ,2575.4 ,1287.7 
1363049133000 ,8046.6 ,8046.9 ,8047.5 ,5311.7 ,2655.8 ,1327.9 
1363049134000 ,8046.4 ,8046.9 ,8047.3 ,5472.6 ,2736.3 ,1368.2 
1363049135000 ,8046.6 ,8046.8 ,8047.1 ,5633.5 ,2816.8 ,1408.4 
1363049136000 ,8046.8 ,8046.9 ,8047.0 ,5794.5 ,2897.3 ,1448.6 
1363049137000 ,8047.0 ,8046.9 ,8046.8 ,5955.4 ,2977.7 ,1488.9 
1363049138000 ,8046.8 ,8046.7 ,8046.7 ,6116.4 ,3058.2 ,1529.1 
1363049139000 ,8047.0 ,8046.7 ,8046.6 ,6277.3 ,3138.7 ,1569.3 
1363049140000 ,8046.6 ,8046.6 ,8046.4 ,6438.2 ,3219.1 ,1609.6 
1363049141000 ,8044.2 ,8045.5 ,8045.9 ,6598.9 ,3299.5 ,1649.7 
1363049142000 ,8044.0 ,8045.5 ,8046.3 ,6759.8 ,3379.9 ,1690.0 
1363049143000 ,8043.8 ,8045.3 ,8046.1 ,6920.7 ,3460.4 ,1730.2 
1363049144000 ,8043.0 ,8045.0 ,8046.0 ,7081.6 ,3540.8 ,1770.4 
1363049145000 ,8042.6 ,8044.6 ,8045.7 ,7242.5 ,3621.2 ,1810.6 
1363049146000 ,8044.2 ,8044.2 ,8045.6 ,7403.3 ,3701.7 ,1850.8 
1363049147000 ,8043.8 ,8043.9 ,8045.4 ,7564.2 ,3782.1 ,1891.1 
1363049148000 ,8043.6 ,8043.7 ,8045.2 ,7725.1 ,3862.6 ,1931.3 
1363049149000 ,8043.8 ,8043.4 ,8045.1 ,7886.0 ,3943.0 ,1971.5 
1363049150000 ,8043.8 ,8043.2 ,8044.9 ,8046.8 ,4023.4 ,2011.7 
1363049151000 ,8043.8 ,8044.0 ,8044.8 ,8046.8 ,4103.9 ,2051.9 
1363049152000 ,8044.0 ,8043.9 ,8044.7 ,8046.8 ,4184.3 ,2092.2 
1363049153000 ,8044.0 ,8043.8 ,8044.6 ,8046.8 ,4264.8 ,2132.4 
1363049154000 ,8044.0 ,8043.9 ,8044.5 ,8046.7 ,4345.2 ,2172.6 
1363049155000 ,8044.4 ,8044.1 ,8044.4 ,8046.6 ,4425.6 ,2212.8 
1363049156000 ,8044.4 ,8044.1 ,8044.2 ,8046.5 ,4506.1 ,2253.0 
1363049157000 ,8044.2 ,8044.1 ,8044.0 ,8046.3 ,4586.5 ,2293.3 
1363049158000 ,8044.4 ,8044.2 ,8044.0 ,8046.2 ,4667.0 ,2333.5 
1363049159000 ,8044.6 ,8044.3 ,8043.9 ,8046.1 ,4747.4 ,2373.7 
1363049160000 ,8044.6 ,8044.5 ,8043.9 ,8046.0 ,4827.9 ,2413.9 
1363049161000 ,8044.6 ,8044.5 ,8044.3 ,8045.9 ,4908.3 ,2454.2 
1363049162000 ,8044.8 ,8044.5 ,8044.2 ,8045.8 ,4988.8 ,2494.4 
1363049163000 ,8044.8 ,8044.6 ,8044.2 ,8045.7 ,5069.2 ,2534.6 
1363049164000 ,8044.6 ,8044.6 ,8044.3 ,8045.6 ,5149.7 ,2574.8 
1363049165000 ,8044.4 ,8044.5 ,8044.3 ,8045.5 ,5230.1 ,2615.0 
1363049166000 ,8044.6 ,8044.6 ,8044.4 ,8045.4 ,5310.5 ,2655.3 
1363049167000 ,8044.4 ,8044.6 ,8044.4 ,8045.2 ,5391.0 ,2695.5 
1363049168000 ,8044.4 ,8044.6 ,8044.4 ,8045.2 ,5471.4 ,2735.7 
1363049169000 ,8044.6 ,8044.6 ,8044.5 ,8045.1 ,5551.9 ,2775.9 
1363049170000 ,8044.8 ,8044.6 ,8044.6 ,8045.0 ,5632.3 ,2816.2 
1363049171000 ,8044.8 ,8044.7 ,8044.6 ,8045.0 ,5712.8 ,2856.4 
1363049172000 ,8045.2 ,8044.8 ,8044.7 ,8045.1 ,5793.2 ,2896.6 
1363049173000 ,8045.2 ,8044.8 ,8044.7 ,8045.1 ,5873.7 ,2936.8 
1363049174000 ,8045.4 ,8045.0 ,8044.8 ,8045.1 ,5954.2 ,2977.1 
1363049175000 ,8045.4 ,8045.1 ,8044.8 ,8045.0 ,6034.6 ,3017.3 
1363049176000 ,8045.6 ,8045.2 ,8044.9 ,8045.0 ,6115.1 ,3057.5 
1363049177000 ,8045.6 ,8045.4 ,8045.0 ,8045.0 ,6195.5 ,3097.8 
1363049178000 ,8045.8 ,8045.5 ,8045.1 ,8044.9 ,6276.0 ,3138.0 
1363049179000 ,8045.6 ,8045.5 ,8045.1 ,8044.9 ,6356.4 ,3178.2 
1363049180000 ,8045.6 ,8045.5 ,8045.1 ,8044.9 ,6436.9 ,3218.4 
1363049181000 ,8045.6 ,8045.6 ,8045.2 ,8044.9 ,6517.3 ,3258.7 
1363049182000 ,8045.6 ,8045.6 ,8045.2 ,8044.9 ,6597.8 ,3298.9 
1363049183000 ,8045.6 ,8045.7 ,8045.3 ,8044.8 ,6678.3 ,3339.1 
1363049184000 ,8045.6 ,8045.6 ,8045.3 ,8044.8 ,6758.7 ,3379.4 
1363049185000 ,8045.8 ,8045.7 ,8045.4 ,8044.8 ,6839.2 ,3419.6 
1363049186000 ,8045.6 ,8045.6 ,8045.4 ,8044.7 ,6919.6 ,3459.8 
1363049187000 ,8045.6 ,8045.6 ,8045.5 ,8044.7 ,7000.1 ,3500.0 
